Sl No,Organisation Name ,InstituteName,InstituteAddress,InstituteCode/A ffiliation No,School Type,PhoneNumber,
201,,NEW OXFORD SCHOOL,"DODDA THIMMASANDRA, SARJAPURA (P)ANEKAL TALUK ,562125",830703,,Secondary School,"080
8904342406"
202,,New Pratham Public School,"No. 3, 2nd Cross, 2nd Main,Pai Layout, K R Puram, Bangalore- 560016 ,560016",830770,,Secondary School,080 40954645
203,,NIRMAN INTERNATIONAL PUBLIC SCHOOL,"89,90,95,96 Near Automated RTO, Upkar Layout,7th Block,Vishweshwaraiah Layout, Bangalore - 560091 ,560091",830540,,Secondary School,080 23289883
204,,Nitte International School,"NO. 12, MYLAPPANANHALLI VILLAGE, SHIVAKOTE POST, HESARGHATTA HOBLI BANGALORE ,560089",830332,,Secondary School,"080
8088938518"
205,,North Hills International School,"Survey No. 64/2, Dasarahalli, Bangalore -560024 ,560024",830844,,Secondary School,8022331984
206,,OAKRIDGE INTERNATIONAL SCHOOL,"SURVEY NO 40,THIGALACHOWDENAHELY VILLAGE,SARJAPURA HOBLI,ANEKAL TALUK,BENGALURU-562 125,
KARNATAKA STATE ,562125",830563,,Secondary School,080 49590900
207,,ORCHIDS THE INTERNATIONAL SCHOOL(AMBALIPURA),"SURVEY # 19, AMBALIPURA, SARJAPURA MAIN ROAD BANGALORE-560102 ,560010",830782,,Secondary School,080 64000464
208,,ORCHIDS THE INTERNATIONAL SCHOOL(BILEKAHALLI),"3rd MAIN, 6th CROSS, N S PALYA MAIN ROAD NEAR CAFE COFFEE DAY, BILEKAHALLI, ,560076",830679,,Secondary School,080 50002094
209,,"ORCHIDS THE INTERNATIONAL SCHOOL(HMT COLONY, JALAHALLI)","BEHIND PF QUARTERS, NEAR HMT THEATRE, SECTOR-2, HMT COLONY, JALAHALLI, BANGALORE-13 ,560013",830669,,Senior Secondary,080 23456512
210,,Orchids The International School (Mysore Road),"No.76/6, Opp.R.V.Engineering College, Mysore Road, Kengeri, Bangalore-560 059 ,560059",830678,,Secondary School,080 65604041
211,,ORHCIDS THE INTERNATIONAL SCHOOL(SRI GADADAKAVAL),"SRI GADADAKAVAL BANGALORE 560072 ,560072",830694,,Secondary School,"080
8904442020"
212,,OXFORD SECONDARY SCHOOL,"OXFORD SCHOOL CAMPUS
,560096",830784,,Secondary School,080 23591067
213,,PAVITHRA HIGH SCHOOL,"HMR NAGAR MEDARAHALLI CHIKKABANAVARA POST BANGALORE KARNATAKA
,560090",830142,,Secondary School,0 9900334692
214,,Podar International School,"Survey No. 85,Kodigehalli Magadi Main Road,Yeshwnathpura Hobli,Bangalore-91 ,560091",830842,,Secondary School,080-65666808
215,,Police Modern School,"ksrp campus, koramangala, bangalore, karnataka-560034
,560034",880013,,Secondary School,080 25506765
216,,POORNA SMRITHI PUBLIC SCHOOL,"R L BANDE ROAD BEHIND HOUSING BOARD SHARUNPUR BANGALORE KARNATAKA
,560032",830162,,Secondary School,080 23540854
217,,Pragathi ..... The School,"No. 562/11, Dakshina Bharatha Mahila Samaja Premises, Kadugudi, Bangalore - 560 067. ,560067",830467,,Secondary School,080 64501902
218,,PRARTHANA CENTRAL SCHOOL,"No. 30, Subramanya Pura Main Road, Chikkalasandra, Bangalore - 560 070. ,560070",830340,,Secondary School,080 26790625
219,,"PRESIDENCY SCHOOL(AVALAHALLI, OFF.DODDABALLAPURA ROAD)","POST BOX NO.6455, AVALAHALLI, OFF.DODDABALLAPURA ROAD, SINGANAYAKANAHALLI POST, ,560054",830473,,Secondary School,080 30932101
220,,PRESIDENCY SCHOOL(BILEKAHALLI ),"SY NO 80/2 80/3 82/2 82/3 BELEKALLI OFF BANNER GATTA ROAD BANGALORE KARNATAKA ,560076",830157,,Senior Secondary,080 26485648
